N	Series computation
4120	3.14136
4130	3.14136
4140	3.14136
4150	3.14136
4160	3.14136
4170	3.14136
4180	3.14136
4190	3.14136
4200	3.14137
4210	3.14137
4220	3.14137
4230	3.14137
4240	3.14137
4250	3.14137
4260	3.14137
4270	3.14137
4280	3.14137
4290	3.14137
4300	3.14137
4310	3.14137
4320	3.14137
4330	3.14137
4340	3.14137
4350	3.14137
4360	3.14137
4370	3.14137
4380	3.14137
4390	3.14138
4400	3.14138
4410	3.14138
4420	3.14138
4430	3.14138
4440	3.14138
4450	3.14138
4460	3.14138
4470	3.14138
4480	3.14138
4490	3.14138
4500	3.14138
4510	3.14138
4520	3.14138
4530	3.14138
4540	3.14138
4550	3.14138
4560	3.14138
4570	3.14138
4580	3.14138
4590	3.14138
4600	3.14139
4610	3.14139
4620	3.14139
4630	3.14139
4640	3.14139
4650	3.14139
4660	3.14139
4670	3.14139
4680	3.14139
4690	3.14139
4700	3.14139
4710	3.14139
4720	3.14139
4730	3.14139
4740	3.14139
4750	3.14139
4760	3.14139
4770	3.14139
4780	3.14139
4790	3.14139
4800	3.14139
4810	3.14139
4820	3.14139
4830	3.14139
4840	3.1414
4850	3.1414
4860	3.1414
4870	3.1414
4880	3.1414
4890	3.1414
4900	3.1414
4910	3.1414
4920	3.1414
4930	3.1414
4940	3.1414
4950	3.1414
4960	3.1414
4970	3.1414
4980	3.1414
4990	3.1414
5000	3.1414
5010	3.1414
5020	3.1414
5030	3.1414
5040	3.1414
5050	3.1414
5060	3.1414
5070	3.1414
5080	3.1414
5090	3.14141
5100	3.14141
5110	3.14141
5120	3.14141
5130	3.14141
5140	3.14141
5150	3.14141
5160	3.14141
5170	3.14141
5180	3.14141
5190	3.14141
5200	3.14141
5210	3.14141
5220	3.14141
5230	3.14141
5240	3.14141
5250	3.14141
5260	3.14141
5270	3.14141
5280	3.14141
5290	3.14141
5300	3.14141
5310	3.14141
5320	3.14141
5330	3.14141
5340	3.14141
5350	3.14141
5360	3.14141
5370	3.14141
5380	3.14142
